"Cipher","Block Size (bits)","Key Size (bits)","Implementation Version","Implementation Info","Implementation Authors"
"AES","128","128","01"," AES_128_128 small footprint, 8-bit"," Dmitry Khovratovich "
"AES","128","128","02"," Fast table-based AES implementation"," Dmitry Khovratovich"
"AES","128","128","03"," AES_128_128 small footprint, 8-bit; without memcpy"," Dmitry Khovratovich"
"AES","128","128","04"," AES_128_128 small footprint, 8-bit; store constants in RAM"," Dmitry Khovratovich"
"AES","128","128","05"," AES_128_128 small footprint, 8-bit; without memcpy; store constants in RAM"," Dmitry Khovratovich"
"AES","128","128","06"," Fast table-based AES implementation; store Sbox and inverse Sbox in RAM, the rest of constants (Rcon, T0, T1, T2, T3, inverse T0, inverse T1, inverse T2, inverse T3, inverce MC0, inverse MC1, inverse MC2 and inverse MC3) are stored in ROM because there is not enough RAM for them"," Dmitry Khovratovich"
"AES","128","128","07"," AES_128_128 Assembler version for AVR, MSP, ARM; optimized for speed based on AES_128_128_01 "," André Stemper"
"AES","128","128","08"," AVRAES RijndaelFast"," B. Poettering point-at-infinity.org/avraes/"
"Chaskey","128","128","01"," Cipher reference implementation"," Nicky Mouha"
"Chaskey","128","128","02"," Cipher reference implementation with new rotation functions"," Nicky Mouha, Jason Smith"
"Chaskey","128","128","03"," Assembler implementation"," Nicky Mouha, Virat Shejwalkar, Daniel Dinu"
"Chaskey","128","128","04"," Assembler implementation; unroll 2 rounds"," Nicky Mouha, Virat Shejwalkar, Daniel Dinu"
"Chaskey","128","128","05"," Assembler implementation; unroll 4 rounds"," Nicky Mouha, Virat Shejwalkar, Daniel Dinu"
"Chaskey","128","128","06"," Assembler implementation; fully unroll"," Nicky Mouha, Virat Shejwalkar, Daniel Dinu"
"Chaskey-LTS","128","128","01"," Cipher reference implementation"," Nicky Mouha"
"Chaskey-LTS","128","128","02"," Cipher reference implementation with new rotation functions"," Nicky Mouha, Jason Smith"
"Chaskey-LTS","128","128","03"," Assembler implementation"," Nicky Mouha, Virat Shejwalkar, Daniel Dinu"
"Chaskey-LTS","128","128","04"," Assembler implementation; unroll 2 rounds"," Nicky Mouha, Virat Shejwalkar, Daniel Dinu"
"Chaskey-LTS","128","128","05"," Assembler implementation; unroll 4 rounds"," Nicky Mouha, Virat Shejwalkar, Daniel Dinu"
"Chaskey-LTS","128","128","06"," Assembler implementation; unroll 8 rounds for AVR and ARM; unroll 4 round for MSP"," Nicky Mouha, Virat Shejwalkar, Daniel Dinu"
"Chaskey-LTS","128","128","07"," Assembler implementation; fully unroll"," Nicky Mouha, Virat Shejwalkar, Daniel Dinu"
"Fantomas","128","128","01"," reference implementation"," Johann Großschädl"
"Fantomas","128","128","02"," reference implementation; store L-Boxes and inverse L-Boxes in RAM"," Johann Großschädl"
"HIGHT","64","128","01"," reference implementation; delta constants are computed when encryption key schedule is called"," Daniel Dinu"
"HIGHT","64","128","02"," reference implementation; delta constants are precomputed"," Daniel Dinu"
"HIGHT","64","128","03"," cleaner reference implementation; delta constants are computed when encryption key schedule is called"," Daniel Dinu"
"HIGHT","64","128","04"," cleaner reference implementation; delta constants are precomputed"," Daniel Dinu"
"HIGHT","64","128","05"," fully unrolled implementation; delta constants are precomputed"," Daniel Dinu"
"HIGHT","64","128","06"," fully unrolled implementation; delta constants are precomputed; auxiliary functions (F0 and F1) are inlined; round keys are computed in a different order"," Daniel Dinu"
"HIGHT","64","128","07"," reference implementation; delta constants are precomputed; store constants in RAM"," Daniel Dinu"
"HIGHT","64","128","08"," cleaner reference implementation; delta constants are precomputed; store constants in RAM"," Daniel Dinu"
"HIGHT","64","128","09"," fully unrolled implementation; delta constants are precomputed; store constants in RAM"," Daniel Dinu"
"HIGHT","64","128","10"," fully unrolled implementation; delta constants are precomputed; auxiliary functions (F0 and F1) are inlined; round keys are computed in a different order; store constants in RAM"," Daniel Dinu"
"HIGHT","64","128","11"," reference implementation; delta constants are computed when encryption key schedule is called; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","12"," reference implementation; delta constants are precomputed; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","13"," cleaner reference implementation; delta constants are computed when encryption key schedule is called; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","14"," cleaner reference implementation; delta constants are precomputed; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","15"," fully unrolled implementation; delta constants are precomputed; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","16"," fully unrolled implementation; delta constants are precomputed; auxiliary functions (F0 and F1) are inlined; round keys are computed in a different order; ; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","17"," reference implementation; delta constants are precomputed; store constants in RAM; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","18"," cleaner reference implementation; delta constants are precomputed; store constants in RAM; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","19"," fully unrolled implementation; delta constants are precomputed; store constants in RAM; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","20"," fully unrolled implementation; delta constants are precomputed; auxiliary functions (F0 and F1) are inlined; round keys are computed in a different order; store constants in RAM; different implementation for rotations"," Daniel Dinu"
"HIGHT","64","128","21"," Assembly implementation"," Ilwoong Jeong"
"IdentityCipher","128","128","01"," IdentityCipher implementation"," Daniel Dinu"
"IdentityCipher","64","128","01"," IdentityCipher implementation"," Daniel Dinu"
"IdentityCipher","64","80","01"," IdentityCipher implementation"," Daniel Dinu"
"IdentityCipher","64","96","01"," IdentityCipher implementation"," Daniel Dinu"
"LBlock","64","80","01"," reference implementation"," Daniel Dinu"
"LBlock","64","80","02"," cleaner reference implementation"," Daniel Dinu"
"LBlock","64","80","03"," use swap (Swap) function in encryption and decryption"," Daniel Dinu"
"LBlock","64","80","04"," use swap function (not shared) in encryption (SwapEncrypt) and decryption (SwapDecrypt)"," Daniel Dinu"
"LBlock","64","80","05"," use round function (F) in encryption and decryption"," Daniel Dinu"
"LBlock","64","80","06"," use sawp (Swap) function and round function (F) in encryption and decryption"," Daniel Dinu"
"LBlock","64","80","07"," reference implementation using 16 bits operations when possible"," Daniel Dinu"
"LBlock","64","80","08"," reference implementation using 32 bits operations when possible"," Daniel Dinu"
"LBlock","64","80","09"," fully unrolled reference implementation"," Daniel Dinu"
"LBlock","64","80","10"," fully unrolled, swap optimized, reference implementation; precomputed shifted constants for encryption key schedule XOR"," Daniel Dinu"
"LBlock","64","80","11"," fully unrolled, swap optimized, reference implementation using 16 bits operations when possible; precomputed shifted constants for encryption key schedule XOR"," Daniel Dinu"
"LBlock","64","80","12"," fully unrolled, swap optimized, reference implementation using 32 bits operations when possible; precomputed shifted constants for encryption key schedule XOR"," Daniel Dinu"
"LBlock","64","80","13"," reference implementation; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","14"," cleaner reference implementation; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","15"," use swap (Swap) function in encryption and decryption; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","16"," use swap function (not shared) in encryption (SwapEncrypt) and decryption (SwapDecrypt); store constants in RAM"," Daniel Dinu"
"LBlock","64","80","17"," use round function (F) in encryption and decryption; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","18"," use sawp (Swap) function and round function (F) in encryption and decryption; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","19"," reference implementation using 16 bits operations when possible; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","20"," reference implementation using 32 bits operations when possible; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","21"," fully unrolled reference implementation; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","22"," fully unrolled, swap optimized, reference implementation; precomputed shifted constants for encryption key schedule XOR; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","23"," fully unrolled, swap optimized, reference implementation using 16 bits operations when possible; precomputed shifted constants for encryption key schedule XOR; store constants in RAM"," Daniel Dinu"
"LBlock","64","80","24"," fully unrolled, swap optimized, reference implementation using 32 bits operations when possible; precomputed shifted constants for encryption key schedule XOR; store constants in RAM"," Daniel Dinu"
"LEA","128","128","01"," Assembly implementation for AVR and ARM; optimized for speed"," Dongsoo Lee and Ilwoong Jeong"
"LEA","128","128","02"," Assembly implementation for AVR and ARM; optimized for speed-size tradeoff"," Dongsoo Lee and Ilwoong Jeong"
"LEA","128","128","03"," Assembly implementation for AVR and ARM; optimized for size"," Dongsoo Lee and Ilwoong Jeong"
"LEA","128","128","04"," Assembly implementation for MSP; optimized for speed"," Youngjoo Shin"
"LEA","128","128","05"," Assembly implementation for MSP; optimized for speed-size tradeoff"," Youngjoo Shin"
"LEA","128","128","06"," Assembly implementation for MSP; optimized for size"," Youngjoo Shin"
"LEA","128","128","07"," C implementation; fully unrolled reference implementation"," Ilwoong Jeong"
"LEA","128","128","08"," C implementation; partially unrolled reference implementation"," Ilwoong Jeong"
"LEA","128","128","09"," C reference implementation"," Ilwoong Jeong"
"LEA","128","128","10"," Reference implementation; load a block into an array of integers"," Ilwoong Jeong"
"LEA","128","128","11"," C implementation; revised version of v07 (using rot32.h in FELICS framework)"," Ilwoong Jeong"
"LEA","128","128","12"," C implementation; revised version of v08 (using rot32.h in FELICS framework)"," Ilwoong Jeong"
"LEA","128","128","13"," C implementation; revised version of v09 (using rot32.h in FELICS framework)"," Ilwoong Jeong"
"LEA","128","128","14"," Balanced implementation"," Ilwoong Jeong"
"LED","64","80","01"," Cipher reference implementation"," Johann Großschädl"
"LED","64","80","02"," Cipher reference implementation; store constants in RAM"," Johann Großschädl"
"LED","64","80","03"," reference implementation using lookup tables"," Johann Großschädl"
"LED","64","80","04"," reference implementation using lookup tables stored in RAM"," Johann Großschädl"
"Lilliput","64","80","01"," Lilliput v1, easy C implementation"," Julien Francq and Jean-Baptiste Serrou-Soares"
"Lilliput","64","80","02"," Lilliput v1 with embedded C best practices"," Julien Francq and Jean-Baptiste Serrou-Soares"
"Lilliput","64","80","03"," Lilliput v1 with embedded c best practices, T-boxes, clustering by bit8 and strict implementation of Lilliput specifications"," Julien Francq and Jean-Baptiste Serrou Soares"
"Lilliput","64","80","04"," Lilliput v1 -	Key Schedule with strict implementation of Lilliput specifications clustering operations on 4 bits + Encryption/Decryption with easy implementation in C with C language best practices"," Julien Francq and Jean-Baptiste Serrou Soares"
"Lilliput","64","80","05"," Lilliput v1 -	Strict implementation of Lilliput specifications with precomputed operations in arrays for key schedule except of MSP and clustering operations on 4 bits"," Julien Francq and Jean-Baptiste Serrou Soares"
"Lilliput","64","80","06"," Lilliput v1 with 32-bit operations"," Julien Francq and Jean-Baptiste Serrou Soares"
"Lilliput","64","80","07"," Lilliput v1 -	ASM on the entire embedded platforms, with memory optimization (ROM and RAM). The ARM version presents a serial implementation for the encryption / decryption functions."," Julien Francq, Jean-Baptiste Serrou-Soares and Antoine Martinache"
"Piccolo","64","80","01"," Piccolo-64-80, speed-optimized"," Yann Le Corre"
"PRESENT","64","80","01"," Speed-optimized implementation of Present with 80-bit key, 32-bit oriented"," Dmitry Khovratovich"
"PRESENT","64","80","02"," Speed-optimized implementation of Present with 80-bit key, 32-bit oriented"," Dmitry Khovratovich"
"PRESENT","64","80","03"," Speed-optimized implementation of Present with 80-bit key, 32-bit oriented; store constants in RAM"," Dmitry Khovratovich"
"PRESENT","64","80","04"," Speed-optimized implementation of Present with 80-bit key, 32-bit oriented; store Sbox, inverse Sbox and SPboxes in RAM (there is not enough space for IPboxes)"," Dmitry Khovratovich"
"PRESENT","64","80","05"," Speed-optimized implementation of Present with 80-bit key, 32-bit oriented"," Dmitry Khovratovich"
"PRESENT","64","80","06"," Assembly implementation of Present with 80-bit key, 32-bit oriented"," Yann Le Corre"
"PRIDE","64","128","01"," Reference C implementation, no key schedule"," Adnan Baysal"
"PRIDE","64","128","02"," Reference C implementation with key schedule"," Adnan Baysal"
"PRIDE","64","128","03"," Implementation with no extra function call, no key schedule"," Adnan Baysal"
"PRIDE","64","128","04"," Implementation with no extra function call, using key schedule"," Adnan Baysal"
"PRIDE","64","128","05"," Reference C implementation, no key schedule"," Adnan Baysal, Daniel Dinu"
"PRIDE","64","128","06"," Reference C implementation with key schedule"," Adnan Baysal, Daniel Dinu"
"PRIDE","64","128","07"," Implementation with no extra function call, no key schedule"," Adnan Baysal, Daniel Dinu"
"PRIDE","64","128","08"," Implementation with no extra function call, using key schedule"," Adnan Baysal, Daniel Dinu"
"PRINCE","64","128","01"," reference implementation"," Daniel Dinu"
"PRINCE","64","128","02"," use 16 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","03"," use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","04"," use 64 bits operations for encryption key schedule; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","05"," partially unrolled reference implementation"," Daniel Dinu"
"PRINCE","64","128","06"," partially unrolled reference implementation; use 16 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","07"," partially unrolled reference implementation; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","08"," partially unrolled reference implementation; use 64 bits operations for encryption key schedule; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","09"," fully unrolled reference implementation"," Daniel Dinu"
"PRINCE","64","128","10"," fully unrolled reference implementation; use 16 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","11"," fully unrolled reference implementation; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","12"," fully unrolled reference implementation; use 64 bits operations for encryption key schedule; use 32 bits operations where possible"," Daniel Dinu"
"PRINCE","64","128","13"," reference implementation; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","14"," use 16 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","15"," use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","16"," use 64 bits operations for encryption key schedule; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","17"," partially unrolled reference implementation; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","18"," partially unrolled reference implementation; use 16 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","19"," partially unrolled reference implementation; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","20"," partially unrolled reference implementation; use 64 bits operations for encryption key schedule; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","21"," fully unrolled reference implementation; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","22"," fully unrolled reference implementation; use 16 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","23"," fully unrolled reference implementation; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"PRINCE","64","128","24"," fully unrolled reference implementation; use 64 bits operations for encryption key schedule; use 32 bits operations where possible; store constants in RAM"," Daniel Dinu"
"RC5-20","64","128","01"," reference implementation"," Daniel Dinu"
"RC5-20","64","128","02"," reference implementation; magic constants S table is precomputed"," Daniel Dinu"
"RC5-20","64","128","03"," reference implementation; magic constants S table is precomputed and stored in RAM"," Daniel Dinu"
"RC5-20","64","128","04"," fully unrolled reference implementation"," Daniel Dinu"
"RC5-20","64","128","05"," fully unrolled reference implementation; magic constants S table is precomputed"," Daniel Dinu"
"RC5-20","64","128","06"," fully unrolled reference implementation; magic constants S table is precomputed and stored in RAM"," Daniel Dinu"
"RC5-20","64","128","07"," reference implementation; different implementation for rotations"," Daniel Dinu"
"RC5-20","64","128","08"," reference implementation; magic constants S table is precomputed; different implementation for rotations"," Daniel Dinu"
"RC5-20","64","128","09"," reference implementation; magic constants S table is precomputed and stored in RAM; different implementation for rotations"," Daniel Dinu"
